קטגוריה,שם הזמן בעברית,שם הזמן באנגלית,תיאור קצר,שיטה,KosherJava method,Hebcal API field,Zemaneh Yosef,הערות
בוקר,עלות השחר - 72 דקות זמניות,Alos 72 Zmaniyot Minutes,72 דקות זמניות לפני הנץ - עשירית היום,מג״א / ר׳ עובדיה,getAlos72Zmanis(),,yes - getAlotHashachar(),זמני יוסף משתמש ב-1.2 שעות זמניות
בוקר,עלות השחר - 60 דקות,Alos 60 Minutes,60 דקות קבועות לפני הנץ,כללי,getAlos60(),,no,
בוקר,עלות השחר - בעל התניא,Alos Baal HaTanya,עלות לפי שיטת בעל התניא,בעל התניא,getAlosBaalHatanya(),,no,
בוקר,עלות השחר (כללי),Alos HaShachar,עלות השחר - ברירת מחדל,כללי,getAlosHashachar(),alotHaShachar,"yes - getAlotHashachar()",16.1 מעלות ב-KosherJava
בוקר,תחילת זמן דמדומים אסטרונומיים,Begin Astronomical Twilight,תחילת אור ראשון - 18 מעלות,כללי,getBeginAstronomicalTwilight(),,no,AstronomicalCalendar
בוקר,תחילת זמן דמדומים ימיים,Begin Nautical Twilight,12 מעלות מתחת לאופק,כללי,getBeginNauticalTwilight(),,no,AstronomicalCalendar
בוקר,תחילת זמן דמדומים אזרחיים,Begin Civil Twilight,6 מעלות מתחת לאופק,כללי,getBeginCivilTwilight(),dawn,no,dawn ב-Hebcal = 6 מעלות
בוקר,משיכיר - 12.85 מעלות,Misheyakir 12.85 Degrees,השמש 12.85 מעלות מתחת לאופק,כללי,getMisheyakir12Point85Degrees(),,no,
בוקר,משיכיר - 11.5 מעלות,Misheyakir 11.5 Degrees,השמש 11.5 מעלות מתחת לאופק,כללי,getMisheyakir11Point5Degrees(),misheyakir,no,ברירת מחדל Hebcal
בוקר,משיכיר - 11 מעלות,Misheyakir 11 Degrees,השמש 11 מעלות מתחת לאופק,כללי,getMisheyakir11Degrees(),,no,
בוקר,משיכיר - 10.2 מעלות,Misheyakir 10.2 Degrees (Machmir),השמש 10.2 מעלות - מחמיר,כללי,getMisheyakir10Point2Degrees(),misheyakirMachmir,no,מחמיר - Hebcal
בוקר,משיכיר - 9.5 מעלות,Misheyakir 9.5 Degrees,השמש 9.5 מעלות מתחת לאופק,כללי,getMisheyakir9Point5Degrees(),,no,
בוקר,משיכיר - 7.65 מעלות,Misheyakir 7.65 Degrees,השמש 7.65 מעלות מתחת לאופק,כללי,getMisheyakir7Point65Degrees(),,no,
בוקר,משיכיר - 66 דקות זמניות,Misheyakir 66 Zmaniyot Minutes,66 דקות זמניות לפני הנץ,ר׳ עובדיה,,,"yes - getMisheyakir66ZmaniyotMinutes()",ייחודי לזמני יוסף - אופציונלי
בוקר,משיכיר - 60 דקות זמניות,Misheyakir 60 Zmaniyot Minutes,60 דקות זמניות לפני הנץ,ר׳ עובדיה,,,"yes - getMisheyakir60ZmaniyotMinutes()",ברירת מחדל בזמני יוסף
בוקר,הנץ החמה (גובה פני הים),Sunrise Sea Level,זריחה בגובה פני הים,כללי,getSeaLevelSunrise(),sunrise,yes - getSeaLevelSunrise(),AstronomicalCalendar
בוקר,הנץ החמה (מותאם גובה),Sunrise Elevation Adjusted,זריחה מותאמת לגובה המיקום,כללי,getElevationAdjustedSunrise(),,yes - getElevationAdjustedSunrise(),מחזיר sunrise רגיל אם אין גובה
בוקר,הנץ החמה (נראה),HaNetz Visible Sunrise,זריחה נראית לפי לוחות חי,ר׳ עובדיה,,,"yes - getHaNetz()",משתמש בלוחות חי טבלאות - ייחודי לזמני יוסף
בוקר,מעבר שמש (חצות אסטרונומי),Sun Transit,מעבר השמש במרידיאן,כללי,getSunTransit(),,no,AstronomicalCalendar
בוקר,סוף זמן ק״ש - גר״א,Sof Zman Shma GRA,3 שעות זמניות מהנץ לפי הגר״א,גר״א,getSofZmanShmaGRA(),sofZmanShma,yes - getSofZmanShmaGRA(),ברירת מחדל
בוקר,סוף זמן ק״ש - מג״א,Sof Zman Shma MGA,3 שעות זמניות מעלות לפי מג״א,מג״א,getSofZmanShmaMGA(),sofZmanShmaMGA,no,72 דקות קבועות ב-KosherJava ברירת מחדל
בוקר,סוף זמן ק״ש - מג״א 72 דקות זמניות,Sof Zman Shma MGA 72 Min Zmaniyot,3 שעות מעלות 72 דקות זמניות,מג״א / ר׳ עובדיה,getSofZmanShmaMGA72MinutesZmanis(),,yes - getSofZmanShmaMGA72MinutesZmanis(),ברירת מחדל בזמני יוסף
בוקר,סוף זמן ק״ש - מג״א 72 דקות קבועות,Sof Zman Shma MGA 72 Minutes,3 שעות מעלות 72 דקות קבועות,מג״א,getSofZmanShmaMGA72Minutes(),,no,
בוקר,סוף זמן ק״ש - מג״א 16.1 מעלות,Sof Zman Shma MGA 16.1 Degrees,3 שעות מעלות 16.1 מעלות,מג״א,getSofZmanShmaMGA16Point1Degrees(),,no,
בוקר,סוף זמן ק״ש - מג״א 18 מעלות,Sof Zman Shma MGA 18 Degrees,3 שעות מעלות 18 מעלות,מג״א,getSofZmanShmaMGA18Degrees(),,no,
בוקר,סוף זמן ק״ש - מג״א 19.8 מעלות,Sof Zman Shma MGA 19.8 Degrees,3 שעות מעלות 19.8 מעלות,מג״א,getSofZmanShmaMGA19Point8Degrees(),,no,
בוקר,סוף זמן ק״ש - מג״א 90 דקות,Sof Zman Shma MGA 90 Minutes,3 שעות מעלות 90 דקות,מג״א,getSofZmanShmaMGA90Minutes(),,no,
בוקר,סוף זמן ק״ש - מג״א 90 דקות זמניות,Sof Zman Shma MGA 90 Min Zmaniyot,3 שעות מעלות 90 דקות זמניות,מג״א,getSofZmanShmaMGA90MinutesZmanis(),,no,
בוקר,סוף זמן ק״ש - מג״א 96 דקות,Sof Zman Shma MGA 96 Minutes,3 שעות מעלות 96 דקות,מג״א,getSofZmanShmaMGA96Minutes(),,no,
בוקר,סוף זמן ק״ש - מג״א 96 דקות זמניות,Sof Zman Shma MGA 96 Min Zmaniyot,3 שעות מעלות 96 דקות זמניות,מג״א,getSofZmanShmaMGA96MinutesZmanis(),,no,
בוקר,סוף זמן ק״ש - מג״א 120 דקות,Sof Zman Shma MGA 120 Minutes,3 שעות מעלות 120 דקות,מג״א,getSofZmanShmaMGA120Minutes(),,no,
בוקר,סוף זמן ק״ש - 3 שעות לפני חצות,Sof Zman Shma 3 Hours Before Chatzos,3 שעות קבועות לפני חצות,כללי,getSofZmanShma3HoursBeforeChatzos(),,no,
בוקר,סוף זמן ק״ש - עטרת תורה,Sof Zman Shma Ateret Torah,לפי שיטת עטרת תורה,ר׳ עובדיה,getSofZmanShmaAteretTorah(),,no,
בוקר,סוף זמן ק״ש - בעל התניא,Sof Zman Shma Baal HaTanya,לפי שיטת בעל התניא,בעל התניא,getSofZmanShmaBaalHatanya(),,no,
בוקר,סוף זמן ק״ש - עלות 16.1 לשקיעה,Sof Zman Shma Alos 16.1 to Sunset,3 שעות מעלות 16.1 עד שקיעה,כללי,getSofZmanShmaAlos16Point1ToSunset(),,no,
בוקר,סוף זמן ק״ש - עלות 16.1 לצאת 7.083,Sof Zman Shma Alos 16.1 to Tzais 7.083,3 שעות מעלות 16.1 עד צאת 7.083,כללי,getSofZmanShmaAlos16Point1ToTzaisGeonim7Point083Degrees(),,no,
בוקר,סוף זמן ק״ש - גר״א זריחה לחצות קבוע,Sof Zman Shma GRA Sunrise to Fixed Chatzos,גר״א מזריחה לחצות קבוע מקומי,גר״א,getSofZmanShmaGRASunriseToFixedLocalChatzos(),,no,
בוקר,סוף זמן ק״ש - מג״א 16.1 לחצות קבוע,Sof Zman Shma MGA 16.1 to Fixed Chatzos,מג״א מ-16.1 לחצות קבוע,מג״א,getSofZmanShmaMGA16Point1DegreesToFixedLocalChatzos(),,no,
בוקר,סוף זמן ק״ש - מג״א 18 לחצות קבוע,Sof Zman Shma MGA 18 to Fixed Chatzos,מג״א מ-18 לחצות קבוע,מג״א,getSofZmanShmaMGA18DegreesToFixedLocalChatzos(),,no,
בוקר,סוף זמן ק״ש - מג״א 72 לחצות קבוע,Sof Zman Shma MGA 72 to Fixed Chatzos,מג״א מ-72 דקות לחצות קבוע,מג״א,getSofZmanShmaMGA72MinutesToFixedLocalChatzos(),,no,
בוקר,סוף זמן ק״ש - מג״א 90 לחצות קבוע,Sof Zman Shma MGA 90 to Fixed Chatzos,מג״א מ-90 דקות לחצות קבוע,מג״א,getSofZmanShmaMGA90MinutesToFixedLocalChatzos(),,no,
בוקר,סוף זמן אכילת חמץ - גר״א,Sof Zman Achilat Chametz GRA,סוף אכילת חמץ לפי גר״א,גר״א,getSofZmanAchilasChametzGRA(),,no,ערב פסח בלבד
בוקר,סוף זמן אכילת חמץ - מג״א 72 דקות,Sof Zman Achilat Chametz MGA 72 Min,סוף אכילת חמץ לפי מג״א 72 דקות,מג״א,getSofZmanAchilasChametzMGA72Minutes(),,no,ערב פסח בלבד
בוקר,סוף זמן אכילת חמץ - מג״א 72 זמניות,Sof Zman Achilat Chametz MGA 72 Zmaniyot,סוף אכילת חמץ לפי מג״א 72 דקות זמניות,מג״א / ר׳ עובדיה,getSofZmanAchilasChametzMGA72MinutesZmanis(),,yes,ערב פסח - בזמני יוסף = getSofZmanTfilaMGA72MinutesZmanis
בוקר,סוף זמן אכילת חמץ - מג״א 16.1,Sof Zman Achilat Chametz MGA 16.1,סוף אכילת חמץ לפי מג״א 16.1 מעלות,מג״א,getSofZmanAchilasChametzMGA16Point1Degrees(),,no,ערב פסח בלבד
בוקר,סוף זמן אכילת חמץ - בעל התניא,Sof Zman Achilat Chametz Baal HaTanya,סוף אכילת חמץ לפי בעל התניא,בעל התניא,getSofZmanAchilasChametzBaalHatanya(),,no,ערב פסח בלבד
בוקר,סוף זמן תפילה - גר״א,Sof Zman Tfila GRA,4 שעות זמניות מהנץ לפי הגר״א,גר״א,getSofZmanTfilaGRA(),sofZmanTfilla,yes - getSofZmanTfilaGRA(),ברירת מחדל
בוקר,סוף זמן תפילה - מג״א,Sof Zman Tfila MGA,4 שעות זמניות מעלות לפי מג״א,מג״א,getSofZmanTfilaMGA(),sofZmanTfillaMGA,no,72 דקות קבועות ב-KosherJava ברירת מחדל
בוקר,סוף זמן תפילה - מג״א 72 דקות זמניות,Sof Zman Tfila MGA 72 Min Zmaniyot,4 שעות מעלות 72 דקות זמניות,מג״א / ר׳ עובדיה,getSofZmanTfilaMGA72MinutesZmanis(),,yes - getSofZmanTfilaMGA72MinutesZmanis(),ברירת מחדל בזמני יוסף
בוקר,סוף זמן תפילה - מג״א 72 דקות,Sof Zman Tfila MGA 72 Minutes,4 שעות מעלות 72 דקות,מג״א,getSofZmanTfilaMGA72Minutes(),,no,
בוקר,סוף זמן תפילה - מג״א 16.1 מעלות,Sof Zman Tfila MGA 16.1 Degrees,4 שעות מעלות 16.1 מעלות,מג״א,getSofZmanTfilaMGA16Point1Degrees(),,no,
בוקר,סוף זמן תפילה - מג״א 18 מעלות,Sof Zman Tfila MGA 18 Degrees,4 שעות מעלות 18 מעלות,מג״א,getSofZmanTfilaMGA18Degrees(),,no,
בוקר,סוף זמן תפילה - מג״א 19.8 מעלות,Sof Zman Tfila MGA 19.8 Degrees,4 שעות מעלות 19.8 מעלות,מג״א,getSofZmanTfilaMGA19Point8Degrees(),,no,
בוקר,סוף זמן תפילה - מג״א 90 דקות,Sof Zman Tfila MGA 90 Minutes,4 שעות מעלות 90 דקות,מג״א,getSofZmanTfilaMGA90Minutes(),,no,
בוקר,סוף זמן תפילה - מג״א 90 דקות זמניות,Sof Zman Tfila MGA 90 Min Zmaniyot,4 שעות מעלות 90 דקות זמניות,מג״א,getSofZmanTfilaMGA90MinutesZmanis(),,no,
בוקר,סוף זמן תפילה - מג״א 96 דקות,Sof Zman Tfila MGA 96 Minutes,4 שעות מעלות 96 דקות,מג״א,getSofZmanTfilaMGA96Minutes(),,no,
בוקר,סוף זמן תפילה - מג״א 96 דקות זמניות,Sof Zman Tfila MGA 96 Min Zmaniyot,4 שעות מעלות 96 דקות זמניות,מג״א,getSofZmanTfilaMGA96MinutesZmanis(),,no,
בוקר,סוף זמן תפילה - מג״א 120 דקות,Sof Zman Tfila MGA 120 Minutes,4 שעות מעלות 120 דקות,מג״א,getSofZmanTfilaMGA120Minutes(),,no,
בוקר,סוף זמן תפילה - 2 שעות לפני חצות,Sof Zman Tfila 2 Hours Before Chatzos,2 שעות קבועות לפני חצות,כללי,getSofZmanTfila2HoursBeforeChatzos(),,no,
בוקר,סוף זמן תפילה - עטרת תורה,Sof Zman Tfila Ateret Torah,לפי שיטת עטרת תורה,ר׳ עובדיה,getSofZmanTfilaAteretTorah(),,no,
בוקר,סוף זמן תפילה - בעל התניא,Sof Zman Tfila Baal HaTanya,לפי שיטת בעל התניא,בעל התניא,getSofZmanTfilaBaalHatanya(),,no,
בוקר,סוף זמן תפילה - גר״א זריחה לחצות קבוע,Sof Zman Tfila GRA Sunrise to Fixed Chatzos,גר״א מזריחה לחצות קבוע מקומי,גר״א,getSofZmanTfilaGRASunriseToFixedLocalChatzos(),,no,
בוקר,סוף זמן ביעור חמץ - גר״א,Sof Zman Biur Chametz GRA,סוף ביעור חמץ לפי גר״א,גר״א,getSofZmanBiurChametzGRA(),,no,ערב פסח בלבד
בוקר,סוף זמן ביעור חמץ - מג״א 72 דקות,Sof Zman Biur Chametz MGA 72 Min,סוף ביעור חמץ לפי מג״א 72 דקות,מג״א,getSofZmanBiurChametzMGA72Minutes(),,no,ערב פסח בלבד
בוקר,סוף זמן ביעור חמץ - מג״א 72 זמניות,Sof Zman Biur Chametz MGA 72 Zmaniyot,סוף ביעור חמץ לפי מג״א 72 דקות זמניות,מג״א / ר׳ עובדיה,getSofZmanBiurChametzMGA72MinutesZmanis(),,yes - getSofZmanBiurChametzMGA(),ערב פסח - בזמני יוסף חישוב ייחודי
בוקר,סוף זמן ביעור חמץ - מג״א 16.1,Sof Zman Biur Chametz MGA 16.1,סוף ביעור חמץ לפי מג״א 16.1 מעלות,מג״א,getSofZmanBiurChametzMGA16Point1Degrees(),,no,ערב פסח בלבד
בוקר,סוף זמן ביעור חמץ - בעל התניא,Sof Zman Biur Chametz Baal HaTanya,סוף ביעור חמץ לפי בעל התניא,בעל התניא,getSofZmanBiurChametzBaalHatanya(),,no,ערב פסח בלבד
צהריים,חצות היום,Chatzos / Midday,חצי היום ההלכתי - אמצע בין הנץ לשקיעה,כללי,getChatzos(),chatzot,yes - getChatzot(),
צהריים,חצות היום (חצי יום),Chatzos as Half Day,חצות מחושב כחצי יום,כללי,getChatzosAsHalfDay(),,no,ZmanimCalendar
צהריים,חצות קבוע מקומי,Fixed Local Chatzos,חצות לפי שעון מקומי קבוע,כללי,getFixedLocalChatzos(),,no,
אחה״צ,מנחה גדולה,Mincha Gedola,חצי שעה זמנית אחרי חצות,כללי,getMinchaGedola(),minchaGedola,no,ZmanimCalendar - ברירת מחדל
אחה״צ,מנחה גדולה (לא פחות מ-30 דקות),Mincha Gedola Greater Than 30,המאוחר מבין מנחה גדולה ו-30 דקות אחרי חצות,כללי / ר׳ עובדיה,getMinchaGedolaGreaterThan30(),,yes - getMinchaGedolaGreaterThan30(),גם ב-ZmanimCalendar
אחה״צ,מנחה גדולה - 30 דקות אחרי חצות,Mincha Gedola 30 Minutes,30 דקות קבועות אחרי חצות,כללי,getMinchaGedola30Minutes(),,no,
אחה״צ,מנחה גדולה - 16.1 מעלות,Mincha Gedola 16.1 Degrees,מנחה גדולה עם יום מ-16.1 מעלות,מג״א,getMinchaGedola16Point1Degrees(),,no,
אחה״צ,מנחה גדולה - 72 דקות,Mincha Gedola 72 Minutes,מנחה גדולה עם יום מעלות 72 דקות,מג״א,getMinchaGedola72Minutes(),,no,
אחה״צ,מנחה גדולה - עטרת תורה,Mincha Gedola Ateret Torah,מנחה גדולה לפי עטרת תורה,ר׳ עובדיה,getMinchaGedolaAteretTorah(),,no,
אחה״צ,מנחה גדולה - אהבת שלום,Mincha Gedola Ahavat Shalom,מנחה גדולה לפי אהבת שלום,כללי,getMinchaGedolaAhavatShalom(),,no,
אחה״צ,מנחה גדולה - בעל התניא,Mincha Gedola Baal HaTanya,מנחה גדולה לפי בעל התניא,בעל התניא,getMinchaGedolaBaalHatanya(),,no,
אחה״צ,מנחה גדולה - בעל התניא (לא פחות מ-30),Mincha Gedola Baal HaTanya > 30,מנחה גדולה בעל התניא לא פחות מ-30 דקות,בעל התניא,getMinchaGedolaBaalHatanyaGreaterThan30(),,no,
אחה״צ,מנחה גדולה - גר״א חצות קבוע 30 דקות,Mincha Gedola GRA Fixed Chatzos 30 Min,מנחה גדולה מחצות קבוע מקומי + 30 דקות,גר״א,getMinchaGedolaGRAFixedLocalChatzos30Minutes(),,no,
אחה״צ,מנחה קטנה,Mincha Ketana,9.5 שעות זמניות מהנץ,כללי,getMinchaKetana(),minchaKetana,yes - getMinchaKetana(),ZmanimCalendar
אחה״צ,מנחה קטנה - 16.1 מעלות,Mincha Ketana 16.1 Degrees,מנחה קטנה עם יום מ-16.1 מעלות,מג״א,getMinchaKetana16Point1Degrees(),,no,
אחה״צ,מנחה קטנה - 72 דקות,Mincha Ketana 72 Minutes,מנחה קטנה עם יום מעלות 72 דקות,מג״א,getMinchaKetana72Minutes(),,no,
אחה״צ,מנחה קטנה - עטרת תורה,Mincha Ketana Ateret Torah,מנחה קטנה לפי עטרת תורה,ר׳ עובדיה,getMinchaKetanaAteretTorah(),,no,
אחה״צ,מנחה קטנה - אהבת שלום,Mincha Ketana Ahavat Shalom,מנחה קטנה לפי אהבת שלום,כללי,getMinchaKetanaAhavatShalom(),,no,
אחה״צ,מנחה קטנה - בעל התניא,Mincha Ketana Baal HaTanya,מנחה קטנה לפי בעל התניא,בעל התניא,getMinchaKetanaBaalHatanya(),,no,
אחה״צ,מנחה קטנה - גר״א חצות קבוע לשקיעה,Mincha Ketana GRA Fixed Chatzos to Sunset,מנחה קטנה מחצות קבוע לשקיעה,גר״א,getMinchaKetanaGRAFixedLocalChatzosToSunset(),,no,
אחה״צ,סמוך למנחה קטנה - גר״א,Samuch L'Mincha Ketana GRA,חצי שעה לפני מנחה קטנה גר״א,גר״א,getSamuchLeMinchaKetanaGRA(),,no,
אחה״צ,סמוך למנחה קטנה - 16.1 מעלות,Samuch L'Mincha Ketana 16.1,חצי שעה לפני מנחה קטנה 16.1,מג״א,getSamuchLeMinchaKetana16Point1Degrees(),,no,
אחה״צ,סמוך למנחה קטנה - 72 דקות,Samuch L'Mincha Ketana 72 Minutes,חצי שעה לפני מנחה קטנה 72 דקות,מג״א,getSamuchLeMinchaKetana72Minutes(),,no,
אחה״צ,פלג המנחה,Plag HaMincha,10.75 שעות זמניות מהנץ,כללי,getPlagHamincha(),plagHaMincha,no,ZmanimCalendar - הלכה ברורה
אחה״צ,פלג המנחה - ילקוט יוסף,Plag HaMincha Yalkut Yosef,פלג מחושב מצאת הכוכבים אחורה,ר׳ עובדיה,,,"yes - getPlagHaminchaYalkutYosef()",ייחודי לזמני יוסף - 1.25 שעות לפני צאת
אחה״צ,פלג המנחה - הלכה ברורה,Plag HaMincha Halacha Berurah,10.75 שעות זמניות מהנץ לשקיעה,ר׳ עובדיה,getPlagHamincha(),,yes - getPlagHamincha(),כמו ברירת מחדל KosherJava
אחה״צ,פלג המנחה - 16.1 מעלות,Plag HaMincha 16.1 Degrees,פלג עם יום מ-16.1 מעלות,מג״א,getPlagHamincha16Point1Degrees(),,no,
אחה״צ,פלג המנחה - 18 מעלות,Plag HaMincha 18 Degrees,פלג עם יום מ-18 מעלות,מג״א,getPlagHamincha18Degrees(),,no,
אחה״צ,פלג המנחה - 19.8 מעלות,Plag HaMincha 19.8 Degrees,פלג עם יום מ-19.8 מעלות,מג״א,getPlagHamincha19Point8Degrees(),,no,
אחה״צ,פלג המנחה - 26 מעלות,Plag HaMincha 26 Degrees,פלג עם יום מ-26 מעלות,כללי,getPlagHamincha26Degrees(),,no,
אחה״צ,פלג המנחה - 60 דקות,Plag HaMincha 60 Minutes,פלג עם יום מעלות 60 דקות,מג״א,getPlagHamincha60Minutes(),,no,
אחה״צ,פלג המנחה - 72 דקות,Plag HaMincha 72 Minutes,פלג עם יום מעלות 72 דקות,מג״א,getPlagHamincha72Minutes(),,no,
אחה״צ,פלג המנחה - 72 דקות זמניות,Plag HaMincha 72 Min Zmaniyot,פלג עם יום מעלות 72 דקות זמניות,מג״א,getPlagHamincha72MinutesZmanis(),,no,
אחה״צ,פלג המנחה - 90 דקות,Plag HaMincha 90 Minutes,פלג עם יום מעלות 90 דקות,מג״א,getPlagHamincha90Minutes(),,no,
אחה״צ,פלג המנחה - 90 דקות זמניות,Plag HaMincha 90 Min Zmaniyot,פלג עם יום מעלות 90 דקות זמניות,מג״א,getPlagHamincha90MinutesZmanis(),,no,
אחה״צ,פלג המנחה - 96 דקות,Plag HaMincha 96 Minutes,פלג עם יום מעלות 96 דקות,מג״א,getPlagHamincha96Minutes(),,no,
אחה״צ,פלג המנחה - 96 דקות זמניות,Plag HaMincha 96 Min Zmaniyot,פלג עם יום מעלות 96 דקות זמניות,מג״א,getPlagHamincha96MinutesZmanis(),,no,
אחה״צ,פלג המנחה - 120 דקות,Plag HaMincha 120 Minutes,פלג עם יום מעלות 120 דקות,מג״א,getPlagHamincha120Minutes(),,no,
אחה״צ,פלג המנחה - 120 דקות זמניות,Plag HaMincha 120 Min Zmaniyot,פלג עם יום מעלות 120 דקות זמניות,מג״א,getPlagHamincha120MinutesZmanis(),,no,
אחה״צ,פלג המנחה - עטרת תורה,Plag HaMincha Ateret Torah,פלג לפי עטרת תורה,ר׳ עובדיה,getPlagHaminchaAteretTorah(),,no,
אחה״צ,פלג המנחה - בעל התניא,Plag HaMincha Baal HaTanya,פלג לפי בעל התניא,בעל התניא,getPlagHaminchaBaalHatanya(),,no,
אחה״צ,פלג המנחה - אהבת שלום,Plag HaMincha Ahavat Shalom,פלג לפי אהבת שלום,כללי,getPlagAhavatShalom(),,no,
אחה״צ,פלג המנחה - עלות 16.1 לצאת 7.083,Plag Alos 16.1 to Tzais 7.083,פלג מעלות 16.1 לצאת 7.083,כללי,getPlagAlos16Point1ToTzaisGeonim7Point083Degrees(),,no,
אחה״צ,פלג המנחה - עלות לשקיעה,Plag Alos to Sunset,פלג מעלות לשקיעה,כללי,getPlagAlosToSunset(),,no,
אחה״צ,פלג המנחה - גר״א חצות קבוע לשקיעה,Plag HaMincha GRA Fixed Chatzos to Sunset,פלג מחצות קבוע לשקיעה,גר״א,getPlagHaminchaGRAFixedLocalChatzosToSunset(),,no,
ערב,הדלקת נרות,Candle Lighting,הדלקת נרות שבת/חג - לפני שקיעה,כללי,getCandleLighting(),,yes - getCandleLighting(),בד״כ 20-40 דקות לפני שקיעה
ערב,שקיעה (גובה פני הים),Sunset Sea Level,שקיעה בגובה פני הים,כללי,getSeaLevelSunset(),sunset,no,AstronomicalCalendar
ערב,שקיעה (מותאמת גובה),Sunset Elevation Adjusted,שקיעה מותאמת לגובה המיקום,כללי,getElevationAdjustedSunset(),,yes - getElevationAdjustedSunset(),
ערב,שקיעה (כללי),Sunset,שקיעת החמה,כללי,getSunset(),sunset,yes - getSunset(),AstronomicalCalendar
ערב,סוף זמן דמדומים אזרחיים,End Civil Twilight,6 מעלות מתחת לאופק - ערב,כללי,getEndCivilTwilight(),dusk,no,dusk ב-Hebcal
ערב,סוף זמן דמדומים ימיים,End Nautical Twilight,12 מעלות מתחת לאופק - ערב,כללי,getEndNauticalTwilight(),,no,AstronomicalCalendar
ערב,סוף זמן דמדומים אסטרונומיים,End Astronomical Twilight,18 מעלות מתחת לאופק - ערב,כללי,getEndAstronomicalTwilight(),,no,AstronomicalCalendar
ערב,בין השמשות - ר״ת 13.24 מעלות,Bain HaShmashos RT 13.24 Degrees,בין השמשות לפי ר״ת 13.24 מעלות,ר״ת,getBainHashmashosRT13Point24Degrees(),,no,
ערב,בין השמשות - ר״ת 58.5 דקות,Bain HaShmashos RT 58.5 Minutes,בין השמשות לפי ר״ת 58.5 דקות אחרי שקיעה,ר״ת,getBainHashmashosRT58Point5Minutes(),,no,
ערב,בין השמשות - ר״ת 13.5 דקות לפני 7.083,Bain HaShmashos RT 13.5 Min before 7.083,13.5 דקות לפני צאת 7.083 מעלות,ר״ת,getBainHashmashosRT13Point5MinutesBefore7Point083Degrees(),beinHaShmashos,no,ברירת מחדל Hebcal
ערב,בין השמשות - ר״ת 2 כוכבים,Bain HaShmashos RT 2 Stars,בין השמשות לפי ר״ת 2 כוכבים,ר״ת,getBainHashmashosRT2Stars(),,no,
ערב,בין השמשות - ירעים 2.1 מעלות,Bain HaShmashos Yereim 2.1 Degrees,בין השמשות לפי ירעים 2.1 מעלות,ירעים,getBainHashmashosYereim2Point1Degrees(),,no,
ערב,בין השמשות - ירעים 2.8 מעלות,Bain HaShmashos Yereim 2.8 Degrees,בין השמשות לפי ירעים 2.8 מעלות,ירעים,getBainHashmashosYereim2Point8Degrees(),,no,
ערב,בין השמשות - ירעים 3.05 מעלות,Bain HaShmashos Yereim 3.05 Degrees,בין השמשות לפי ירעים 3.05 מעלות,ירעים,getBainHashmashosYereim3Point05Degrees(),,no,
ערב,בין השמשות - ירעים 13.5 דקות,Bain HaShmashos Yereim 13.5 Minutes,בין השמשות לפי ירעים 13.5 דקות,ירעים,getBainHashmashosYereim13Point5Minutes(),,no,
